SN,158,0.081569
SS,158,0.081335
LU,159,0.012776
SN,159,0.080927
SS,159,0.078748
LU,160,0.012996
SN,160,0.083260
SS,160,0.079675
LU,161,0.014040
SN,161,0.080659
SS,161,0.078847
LU,162,0.013256
SN,162,0.080706
SS,162,0.078363
LU,163,0.013784
SN,163,0.081582
SS,163,0.077981
LU,164,0.013771
SN,164,0.082625
SS,164,0.090553
LU,165,0.016477
SN,165,0.081989
SS,165,0.078142
LU,166,0.014193
SN,166,0.081473
SS,166,0.078583
LU,167,0.015430
SN,167,0.085295
SS,167,0.089526
LU,168,0.015244
SN,168,0.084222
SS,168,0.079886
LU,169,0.014806
SN,169,0.080438
SS,169,0.078466
LU,170,0.015921
SN,170,0.081288
SS,170,0.079324
LU,171,0.015236
SN,171,0.079602
SS,171,0.078080
LU,172,0.016926
SN,172,0.079095
SS,172,0.080032
LU,173,0.016847
SN,173,0.092069
SS,173,0.080486
LU,174,0.017408
SN,174,0.079343
SS,174,0.078770
LU,175,0.016536
SN,175,0.082149
SS,175,0.078445
LU,176,0.017246
SN,176,0.089070
SS,176,0.083383
LU,177,0.017186
SN,177,0.081389
SS,177,0.077856
LU,178,0.017485
SN,178,0.081969
SS,178,0.081722
LU,179,0.016509
SN,179,0.082652
SS,179,0.078732
LU,180,0.019356
SN,180,0.082347
SS,180,0.078510
LU,181,0.018803
SN,181,0.080227
SS,181,0.080718
LU,182,0.019069
SN,182,0.079712
SS,182,0.080839
LU,183,0.019342
SN,183,0.080460
SS,183,0.076877
LU,184,0.019300
SN,184,0.082550
SS,184,0.080827
LU,185,0.019075
SN,185,0.085175
SS,185,0.079017
LU,186,0.018480
SN,186,0.083494
SS,186,0.077858
LU,187,0.020636
SN,187,0.080136
SS,187,0.087599
LU,188,0.020655
SN,188,0.079545
SS,188,0.077532
LU,189,0.020367
SN,189,0.081748
SS,189,0.077406
LU,190,0.022027
SN,190,0.080371
SS,190,0.080577
LU,191,0.022220
SN,191,0.079927
SS,191,0.085452
LU,192,0.023887
SN,192,0.089306
SS,192,0.078540
LU,193,0.029325
SN,193,0.082863
SS,193,0.081518
LU,194,0.029156
SN,194,0.080066
SS,194,0.083960
LU,195,0.030169
SN,195,0.083586
SS,195,0.078929
LU,196,0.028199
SN,196,0.083707
SS,196,0.078494
LU,197,0.029726
SN,197,0.081171
SS,197,0.079632
LU,198,0.026856
SN,198,0.080121
SS,198,0.085934
LU,199,0.031054
SN,199,0.079552
SS,199,0.080224
LU,200,0.032513
SN,200,0.084480
SS,200,0.080880
LU,201,0.031562
SN,201,0.081480
SS,201,0.077249
LU,202,0.032972
SN,202,0.082537
SS,202,0.081370
LU,203,0.031533
SN,203,0.079497
SS,203,0.078320
LU,204,0.032533
SN,204,0.080039
SS,204,0.077581
LU,205,0.035997
SN,205,0.079698
SS,205,0.081365
LU,206,0.033460
SN,206,0.081343
SS,206,0.078081
LU,207,0.034686
SN,207,0.081072
SS,207,0.080343
LU,208,0.037481
SN,208,0.081654
SS,208,0.083252
LU,209,0.036739
SN,209,0.092608
SS,209,0.079820
LU,210,0.036792
SN,210,0.080220
SS,210,0.079219
LU,211,0.037881
SN,211,0.080652
SS,211,0.078142
LU,212,0.037424
SN,212,0.082677
SS,212,0.079054
LU,213,0.036769
SN,213,0.081835
SS,213,0.079360
LU,214,0.039158
SN,214,0.081538
SS,214,0.077750
LU,215,0.038766
SN,215,0.081960
SS,215,0.079156
LU,216,0.040600
SN,216,0.081592
SS,216,0.078931
LU,217,0.039164
SN,217,0.079428
SS,217,0.080742
LU,218,0.041367
SN,218,0.080332
SS,218,0.080874
LU,219,0.039051
SN,219,0.080494
SS,219,0.089102
LU,220,0.042967
SN,220,0.079529
