N,65,0.000997
S,65,0.008028
N,66,0.000944
S,66,0.008358
N,67,0.001166
S,67,0.008298
N,68,0.001018
S,68,0.009585
N,69,0.001348
S,69,0.009052
N,70,0.001230
S,70,0.008963
N,71,0.001423
S,71,0.008702
N,72,0.001210
S,72,0.008651
N,73,0.001358
S,73,0.011389
N,74,0.002198
S,74,0.009166
N,75,0.001687
S,75,0.008323
N,76,0.001450
S,76,0.007587
N,77,0.001621
S,77,0.008918
N,78,0.001542
S,78,0.008182
N,79,0.002255
S,79,0.008041
N,80,0.001813
S,80,0.008360
N,81,0.002162
S,81,0.008370
N,82,0.001842
S,82,0.007633
N,83,0.001884
S,83,0.008704
N,84,0.002203
S,84,0.007525
N,85,0.002194
S,85,0.008926
N,86,0.002060
S,86,0.008252
N,87,0.002305
S,87,0.008026
N,88,0.002530
S,88,0.008677
N,89,0.002412
S,89,0.008515
N,90,0.002338
S,90,0.008645
N,91,0.002715
S,91,0.007730
N,92,0.002879
S,92,0.008185
N,93,0.002604
S,93,0.008628
N,94,0.003074
S,94,0.007479
N,95,0.003018
S,95,0.008948
N,96,0.003070
S,96,0.007675
N,97,0.002976
S,97,0.007951
N,98,0.003626
S,98,0.007620
N,99,0.003365
S,99,0.008293
N,100,0.003159
S,100,0.008702
N,101,0.003457
S,101,0.007901
N,102,0.003982
S,102,0.007959
N,103,0.003680
S,103,0.007777
N,104,0.003650
S,104,0.008455
N,105,0.003776
S,105,0.007920
N,106,0.004354
S,106,0.007570
N,107,0.004190
S,107,0.007723
N,108,0.004070
S,108,0.008696
N,109,0.004218
S,109,0.007996
N,110,0.004713
S,110,0.008126
N,111,0.004977
S,111,0.008428
N,112,0.004932
S,112,0.007386
N,113,0.004670
S,113,0.009249
N,114,0.004830
S,114,0.008607
N,115,0.006051
S,115,0.008743
N,116,0.005441
S,116,0.007899
N,117,0.005800
S,117,0.008875
N,118,0.007232
S,118,0.010922
N,119,0.005874
S,119,0.009005
N,120,0.006175
S,120,0.008178
N,121,0.005816
S,121,0.008249
N,122,0.006481
S,122,0.008510
N,123,0.006970
S,123,0.008943
N,124,0.006530
S,124,0.008100
N,125,0.006468
S,125,0.007535
N,126,0.006751
S,126,0.008387
N,127,0.007722
S,127,0.007259
N,128,0.008093
S,128,0.007224
N,129,0.008069
S,129,0.060567
N,130,0.007723
S,130,0.057207
N,131,0.008093
S,131,0.058972
N,132,0.008272
S,132,0.057972
N,133,0.008888
S,133,0.056707
N,134,0.009124
S,134,0.056678
N,135,0.009028
S,135,0.057924
N,136,0.009849
S,136,0.057460
N,137,0.009182
S,137,0.055427
N,138,0.009474
S,138,0.056488
N,139,0.009668
S,139,0.055325
N,140,0.009422
S,140,0.054817
N,141,0.010594
S,141,0.057380
N,142,0.011241
S,142,0.061653
N,143,0.012121
S,143,0.057140
N,144,0.011972
S,144,0.057706
N,145,0.012272
S,145,0.062606
N,146,0.011193
S,146,0.059683
N,147,0.011712
S,147,0.056746
N,148,0.012394
S,148,0.053994
N,149,0.011822
S,149,0.055500
N,150,0.013013
S,150,0.075573
N,151,0.015123
S,151,0.063063
N,152,0.013912
S,152,0.055059
N,153,0.014425
S,153,0.055720
N,154,0.013299
S,154,0.057186
N,155,0.013450
S,155,0.056067
N,156,0.013834
S,156,0.054994
N,157,0.013888
S,157,0.054686
N,158,0.014434
S,158,0.056725
N,159,0.015962
S,159,0.070590
N,160,0.024540
S,160,0.082276
N,161,0.026063
